id,name,lat,lon
1,eZ Cash Communication,7.452007,81.628547
2,eZ Cash Communication,7.498643,81.655111
3,eZ Cash Communication,7.371873,81.638288
4,eZ Cash Communication,7.227649,81.672999
5,eZ Cash Communication,7.437177,81.636422
6,eZ Cash Communication,7.539562,81.395688
7,eZ Cash Communication,7.42922,81.811066
8,eZ Cash Communication,7.515704,81.782999
9,eZ Cash Communication,7.481708,81.759417
10,eZ Cash Communication,7.426432,81.820786
11,eZ Cash Communication,7.445816,81.812224
12,eZ Cash Communication,7.488005,81.807096
13,eZ Cash Communication,7.48741,81.795144
14,eZ Cash Communication,7.606277,81.712189
15,eZ Cash Communication,7.611041,81.712275
16,eZ Cash Communication,7.54238,81.759481
17,eZ Cash Communication,7.67195,81.732874
18,eZ Cash Communication,7.773098,81.609042
19,eZ Cash Communication,7.78409,81.588979
20,eZ Cash Communication,7.817445,81.55735
21,eZ Cash Communication,7.829626,81.552222
22,eZ Cash Communication,7.805668,81.569345
23,eZ Cash Communication,7.924934,81.543252
24,eZ Cash Communication,7.913628,81.524348
25,eZ Cash Communication,7.923,81.530657
26,eZ Cash Communication,8.184815,81.410687
27,eZ Cash Communication,7.905976,81.5201
28,eZ Cash Communication,7.915498,81.520936
29,eZ Cash Communication,7.968606,81.339598
30,eZ Cash Communication,7.391067,81.247458
31,eZ Cash Communication,7.387982,81.713884
32,eZ Cash Communication,6.842493,81.831858
33,eZ Cash Communication,6.872042,81.830249
34,eZ Cash Communication,7.130894,81.84866
35,eZ Cash Communication,7.251112,81.854432
36,eZ Cash Communication,7.346293,81.846406
37,eZ Cash Communication,7.385301,81.837008
38,eZ Cash Communication,7.393046,81.835077
39,eZ Cash Communication,7.363041,81.798341
40,eZ Cash Communication,7.251985,81.707833
41,eZ Cash Communication,7.032303,79.987507
42,eZ Cash Communication,7.032728,79.989932
43,eZ Cash Communication,7.002998,79.983473
44,eZ Cash Communication,7.024934,80.001154
45,eZ Cash Communication,7.032707,80.02862
46,eZ Cash Communication,7.029044,80.080183
47,eZ Cash Communication,7.033261,80.100052
48,eZ Cash Communication,7.043376,80.129385
49,eZ Cash Communication,7.04146,80.12784
50,eZ Cash Communication,7.07681,80.121167
51,eZ Cash Communication,7.078449,80.144298
52,eZ Cash Communication,7.112646,80.091233
53,eZ Cash Communication,7.032878,80.028727
54,eZ Cash Communication,7.124591,80.111833
55,eZ Cash Communication,7.02355,79.900775
56,eZ Cash Communication,7.229293,79.988751
57,eZ Cash Communication,7.140113,79.874532
58,eZ Cash Communication,7.14303,79.876871
59,eZ Cash Communication,7.217138,80.013192
